GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.portfolio,PortfolioMain,5,3,0,0,2,1,1,1,1,1
demo,com.portfolio.user.delete,DeletUserController,7,6,0,0,2,3,1,1,1,1
demo,com.portfolio.user.signup,SignupUserService,28,6,0,0,7,3,1,1,1,1
demo,com.portfolio.user.signup,SignupController,8,6,0,0,2,3,1,1,1,1
demo,com.portfolio.user.login,CustomUserDetailsService,71,10,4,0,21,5,6,2,4,2
demo,com.portfolio.user.login,LoginSuccessHandler,13,6,0,0,3,3,1,1,1,1
demo,com.portfolio.user.login,LoginController,2,3,0,0,1,1,1,1,1,1
demo,com.portfolio.user,UserController,2,3,0,0,1,1,1,1,1,1
demo,com.portfolio.user,UserService,37,6,0,0,10,3,4,1,4,1
demo,com.portfolio.user,UserEntity,42,7,0,0,18,3,12,1,12,1
demo,com.portfolio.user,SecurityConfig,0,83,0,0,0,22,0,7,0,7
